"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1080","9.0453898750573813E-1","-3.0042855182227924E-26","-1.4388186844294218E-1","-8.5656563732450135E-15","-4.9801575824700677E-2","1.9332247649544646E-14","3.0910600071819299E+0","3.7265552310265724E+0","1.6518529240615511E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1079","9.0455226337299521E-1","1.0067418228061008E-25","-1.4391203461700755E-1","1.4863656849291233E-14","-4.9463522488912469E-2","-5.2315527349471391E-15","3.0910596519174698E+0","3.7221743731128925E+0","1.6499110414096155E+1","1.4254726577824199E+0","1.215058560962404E-2"
"1078","9.0452132192505275E-1","4.4630437980492098E-27","-1.4383772503853495E-1","-2.0558944878115282E-14","-5.0311672973440538E-2","1.6852044949817443E-14","3.0910585351285600E+0","3.7331300294078540E+0","1.6547673045706098E+1","1.2761118821919599E+0","1.215058560962404E-2"
"1077","9.0457444129323716E-1","4.1982600997359963E-26","-1.4395839536005892E-1","2.0862229393737487E-14","-4.8959496960843521E-2","-8.1829580930653986E-15","3.0910571113545200E+0","3.7156066884134900E+0","1.6469998141494646E+1","2.0008215742112498E+0","1.215058560962404E-2"
"1076","9.0450633520953128E-1","8.2141668597021403E-26","-1.4379490178443330E-1","-1.7514303310241154E-14","-5.0825346375888744E-2","2.9497503914977577E-14","3.0910546605999500E+0","3.7397089377001307E+0","1.6576835068609316E+1","1.5399965919606500E+0","1.215058560962404E-2"
"1075","9.0459935530902091E-1","-2.1599635586746992E-26","-1.4400609649679613E-1","1.2817880113967321E-14","-4.8459182074059977E-2","4.9033097297604186E-15","3.0910521585469199E+0","3.7090434400745202E+0","1.6440905533743109E+1","2.4843265482360999E+0","1.215058560962404E-2"
"1074","9.0449400608216801E-1","5.1627065301895925E-26","-1.4375339080825397E-1","2.2587502522708188E-14","-5.1342546709839704E-2","-6.8710030958511968E-15","3.0910483877150199E+0","3.7462918444323856E+0","1.6606014815212735E+1","1.7617881444427601E+0","1.215058560962404E-2"
"1073","9.0462702704143372E-1","3.8805259468178683E-26","-1.4405514530898014E-1","3.4364686761596049E-14","-4.7962629287125517E-2","-2.0247507610560256E-14","3.0910447903204101E+0","3.7024847617326797E+0","1.6411833183206756E+1","2.9212696808080501E+0","1.215058560962404E-2"
"1072","9.0448431337908974E-1","-3.0131299101670692E-26","-1.4371318409932546E-1","-2.2369401490548456E-15","-5.1863225241715882E-2","7.2877055674036831E-15","3.0910397208231299E+0","3.7528786439519841E+0","1.6635211817194801E+1","1.9617364179493200E+0","1.215058560962404E-2"
"1071","9.0465747818421860E-1","-1.3040807530117558E-25","-1.4410554889368962E-1","2.1539787582656069E-14","-4.7469890630517327E-2","-2.7234401248349831E-14","3.0910350037865300E+0","3.6959307932852781E+0","1.6382781710001929E+1","3.3281679078151001E+0","1.215058560962404E-2"
"1070","9.0447723605702846E-1","-3.6834709289087138E-26","-1.4367427351812001E-1","1.0010629016547355E-14","-5.2387333828009676E-2","-1.0824186419061280E-14","3.0910286644927600E+0","3.7594692363232438E+0","1.6664425631575231E+1","2.1479995940407601E+0","1.215058560962404E-2"
"1069","9.0469073049393467E-1","5.8736552153922810E-26","-1.4415731415284364E-1","2.0121501415460495E-14","-4.6981018700839608E-2","-7.1558872801187836E-15","3.0910227963550301E+0","3.6893816809766737E+0","1.6353751762379240E+1","3.7131445043653999E+0","1.215058560962404E-2"
"1068","9.0447275320037535E-1","8.5065770001950852E-26","-1.4363665080548424E-1","4.7345647593783406E-15","-5.2914824914689511E-2","-1.2142148622274968E-14","3.0910152235005901E+0","3.7660635272246439E+0","1.6693655840259375E+1","2.3248301023333200E+0","1.215058560962404E-2"
"1067","9.0472680577955877E-1","-4.8090471031877431E-26","-1.4421044778265363E-1","3.7590053460268232E-14","-4.6496066652729491E-2","-3.3176290632981248E-14","3.0910081657464801E+0","3.6828375774816320E+0","1.6324744017093071E+1","4.0808431143916302E+0","1.215058560962404E-2"
"1066","9.0447084402788591E-1","5.9023318815707175E-26","-1.4360030759162612E-1","1.3413357826656491E-14","-5.3445651537023783E-2","3.3523198537884225E-15","3.0909994028206800E+0","3.7726614278439063E+0","1.6722902049573154E+1","2.4947737483267498E+0","1.215058560962404E-2"
"1065","9.0476572589173110E-1","-5.5185269125299790E-26","-1.4426495626283245E-1","2.7223032280211339E-14","-4.6015088190425497E-2","-2.8070261582100182E-14","3.0909911100050200E+0","3.6762986419845816E+0","1.6295759179752885E+1","4.4341737111560304E+0","1.215058560962404E-2"
"1064","9.0447148789896170E-1","5.0108809557647986E-26","-1.4356523540494992E-1","1.4255273350042947E-14","-5.3979767317800985E-2","7.8786294103147548E-15","3.0909812076140000E+0","3.7792628547722766E+0","1.6752163889794431E+1","2.6594947489601899E+0","1.215058560962404E-2"
"1063","9.0480751271150872E-1","3.1974043299291547E-26","-1.4432084584573124E-1","2.0890671596004671E-14","-4.5538137558070763E-2","-4.8509085359922238E-14","3.0909716275112702E+0","3.6697650402549891E+0","1.6266797985157339E+1","4.7750761530136900E+0","1.215058560962404E-2"
