"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1409","1.1087200509405188E+0","-2.5572320658662919E-20","-1.9498066950114290E-1","4.2515199864165837E-6","-2.2083418163289772E-1","3.5635483196916981E-5","3.0229911583837601E+0","5.5103965795080372E+0","2.4425680389262997E+1","2.3748465634755999E+2","1.215058560962404E-2"
"1408","1.1087200682465237E+0","-2.5572321259164072E-20","-1.9498062546724854E-1","-2.1283432956290204E-5","-2.2083423567742788E-1","-1.7839407410554246E-4","3.0229911404651801E+0","5.5103968705029356E+0","2.4425681679142645E+1","2.3748462552209301E+2","1.215058560962404E-2"
"1407","1.1087200855266313E+0","-2.5573559310130223E-20","-1.9498058149986772E-1","2.9786457081113738E-5","-2.2083428964023910E-1","2.4966514161083866E-4","3.0229911225739898E+0","5.5103971610646170E+0","2.4425682967101991E+1","2.3748459466207200E+2","1.215058560962404E-2"
"1406","1.1087201374465119E+0","-2.5575524659863545E-20","-1.9498044939667508E-1","-4.6818306559176391E-5","-2.2083445177513653E-1","-3.9242413754842750E-4","3.0229910688191399E+0","5.5103980340998850E+0","2.4425686836965099E+1","2.3748450210623301E+2","1.215058560962404E-2"
"1405","1.1087201720068900E+0","-2.5573628794374784E-20","-1.9498036146149925E-1","5.5321283139787625E-5","-2.2083455970117516E-1","4.6369550838173056E-4","3.0229910330365000E+0","5.5103986152312796E+0","2.4425689412919386E+1","2.3748444042335601E+2","1.215058560962404E-2"
"1404","1.1087202585406566E+0","-2.5575358153828248E-20","-1.9498014128781516E-1","-7.2353005638021317E-5","-2.2083482992835426E-1","-6.0645531445689248E-4","3.0229909434440900E+0","5.5104000703048568E+0","2.4425695862756822E+1","2.3748428611597600E+2","1.215058560962404E-2"
"1403","1.1087203103829313E+0","-2.5572902317371875E-20","-1.9498000938307247E-1","8.0855902982849651E-5","-2.2083499181977059E-1","6.7772719089764788E-4","3.0229908897701798E+0","5.5104009420459530E+0","2.4425699726883312E+1","2.3748419367856400E+2","1.215058560962404E-2"
"1402","1.1087204315311339E+0","-2.5573875915373981E-20","-1.9497970113666238E-1","-9.7887435023590779E-5","-2.2083537014207946E-1","-8.2048821232296235E-4","3.0229907643386298E+0","5.5104029791759865E+0","2.4425708756775514E+1","2.3748397759221001E+2","1.215058560962404E-2"
"1401","1.1087205006550664E+0","-2.5573185152658023E-20","-1.9497952526130272E-1","1.0639022144118286E-4","-2.2083558600048558E-1","8.9176079670721161E-4","3.0229906927720700E+0","5.5104041415199481E+0","2.4425713909043903E+1","2.3748385434817601E+2","1.215058560962404E-2"
"1400","1.1087206564197023E+0","-2.5573710708374183E-20","-1.9497912893819627E-1","-1.2342149955468784E-4","-2.2083607242322900E-1","-1.0345234388766009E-3","3.0229905314997199E+0","5.5104067607546980E+0","2.4425725519204796E+1","2.3748357659959800E+2","1.215058560962404E-2"
"1399","1.1087207428256982E+0","-2.5572822166687777E-20","-1.9497890909041174E-1","1.3192414336083344E-4","-2.2083634225110424E-1","1.1057969336435538E-3","3.0229904420391698E+0","5.5104082137122203E+0","2.4425731959662489E+1","2.3748342246899199E+2","1.215058560962404E-2"
"1398","1.1087209332082715E+0","-2.5574485805981229E-20","-1.9497842468623841E-1","-1.4895510409014607E-4","-2.2083693677993521E-1","-1.2485616021809451E-3","3.0229902449233998E+0","5.5104114150941248E+0","2.4425746150280187E+1","2.3748308295195201E+2","1.215058560962404E-2"
"1397","1.1087210368977640E+0","-2.5572522331672614E-20","-1.9497816086324163E-1","1.5745757361152222E-4","-2.2083726058081951E-1","1.3198362099117763E-3","3.0229901375677599E+0","5.5104131587030922E+0","2.4425753879095115E+1","2.3748289811211700E+2","1.215058560962404E-2"
"1396","1.1087212619005724E+0","-2.5575422631247514E-20","-1.9497758837234078E-1","-1.7448815352307803E-4","-2.2083796322318092E-1","-1.4626033107379200E-3","3.0229899046055801E+0","5.5104169422923572E+0","2.4425770650436487E+1","2.3748249677862799E+2","1.215058560962404E-2"
"1395","1.1087213828742177E+0","-2.5572778257274821E-20","-1.9497728057136585E-1","1.8299041708915090E-4","-2.2083834100094119E-1","1.5338792341521175E-3","3.0229897793528000E+0","5.5104189765682614E+0","2.4425779667677325E+1","2.3748228108043099E+2","1.215058560962404E-2"
"1394","1.1087216424997843E+0","-2.5575390064764032E-20","-1.9497661998708665E-1","-2.0002055276316925E-4","-2.2083915176585797E-1","-1.6766491735261439E-3","3.0229895105404498E+0","5.5104233424263658E+0","2.4425799020014878E+1","2.3748181809786999E+2","1.215058560962404E-2"
"1393","1.1087217807590859E+0","-2.5573151147836061E-20","-1.9497626820457553E-1","2.0852257872232331E-4","-2.2083958352490354E-1","1.7479266155570911E-3","3.0229893673887598E+0","5.5104256674131165E+0","2.4425809325876255E+1","2.3748157151812100E+2","1.215058560962404E-2"
"1392","1.1087220750103763E+0","-2.5575586891265597E-20","-1.9497551951929193E-1","-2.2555220676323480E-4","-2.2084050242241679E-1","-1.8906998001484976E-3","3.0229890627220501E+0","5.5104306156179019E+0","2.4425831259555050E+1","2.3748104680090501E+2","1.215058560962404E-2"
"1391","1.1087222305570639E+0","-2.5573299486334222E-20","-1.9497512375102816E-1","2.3405396347488347E-4","-2.2084098816851913E-1","1.9619789639371481E-3","3.0229889016692000E+0","5.5104332313563615E+0","2.4425842854218097E+1","2.3748076944410300E+2","1.215058560962404E-2"
"1390","1.1087225594373049E+0","-2.5575435726806926E-20","-1.9497428695621488E-1","-2.5108302052083414E-4","-2.2084201520972094E-1","-2.1047558008913925E-3","3.0229885611433800E+0","5.5104387619956077E+0","2.4425867369627220E+1","2.3748018289551101E+2","1.215058560962404E-2"
"1389","1.1087227322729596E+0","-2.5573345151071540E-20","-1.9497384719775429E-1","2.5958447635433704E-4","-2.2084255494871391E-1","2.1760368898132158E-3","3.0229883821867700E+0","5.5104416685283484E+0","2.4425880253280646E+1","2.3747987471369200E+2","1.215058560962404E-2"
"1388","1.1087230957857614E+0","-2.5575740833790377E-20","-1.9497292228378788E-1","-2.7661289906800405E-4","-2.2084369014645169E-1","-2.3188177867757218E-3","3.0229880057963601E+0","5.5104477816941779E+0","2.4425907350828446E+1","2.3747922646419599E+2","1.215058560962404E-2"
"1387","1.1087232859123555E+0","-2.5573312748784323E-20","-1.9497243853006330E-1","2.8511402241503873E-4","-2.2084428388496466E-1","2.3901010044950770E-3","3.0229878089332201E+0","5.5104509790737861E+0","2.4425921523705345E+1","2.3747888743313800E+2","1.215058560962404E-2"
"1386","1.1087236840619699E+0","-2.5575552433012005E-20","-1.9497142548611915E-1","-3.0214174749087808E-4","-2.2084552725374287E-1","-2.5328863696960887E-3","3.0229873966723000E+0","5.5104576748728276E+0","2.4425951203864475E+1","2.3747817735627601E+2","1.215058560962404E-2"
"1385","1.1087238914818116E+0","-2.5573591067499214E-20","-1.9497089773142418E-1","3.1064250675885105E-4","-2.2084617499936990E-1","2.6041719201815852E-3","3.0229871818995901E+0","5.5104611631578297E+0","2.4425966666224276E+1","2.3747780750681201E+2","1.215058560962404E-2"
"1384","1.1087243242725233E+0","-2.5575300446077990E-20","-1.9496979654602989E-1","-3.2766947093892099E-4","-2.2084752655400108E-1","-2.7469621624893396E-3","3.0229867337617100E+0","5.5104684417089436E+0","2.4425998929521597E+1","2.3747703573352001E+2","1.215058560962404E-2"
"1383","1.1087245489877613E+0","-2.5573492817123389E-20","-1.9496922478438949E-1","3.3616983455034949E-4","-2.2084822831465459E-1","2.8182502500215876E-3","3.0229865010759300E+0","5.5104722209559451E+0","2.4426015681615219E+1","2.3747663495894699E+2","1.215058560962404E-2"
