"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1030","-1.6967233092486720E+0","3.1756007279014768E-23","1.0136396075463166E-2","-5.8932494929994690E-13","1.2795419587406101E+0","-1.3980383346242373E-14","2.4234921835876500E+0","6.2391471092964244E+0","2.7655979201205575E+1","1.3828399725145200E+0","1.215058560962404E-2"
"1029","-1.6967062510159088E+0","-7.7992478749235541E-23","1.3276182123496167E-2","-5.8012518076009604E-13","1.2795288829959000E+0","-1.9511570004732839E-14","2.4234644566044898E+0","6.2391468367874134E+0","2.7655977993267470E+1","1.3828333944870701E+0","1.215058560962404E-2"
"1028","-1.6966846176256056E+0","-2.0486936267838294E-23","1.6415931304983308E-2","-6.0734372335288574E-13","1.2795123002422817E+0","-2.5138811654734783E-14","2.4234292933653401E+0","6.2391464911769372E+0","2.7655976461295875E+1","1.3828250523062999E+0","1.215058560962404E-2"
"1027","-1.6966584091856023E+0","-4.9599707529785665E-23","1.9555634901680691E-2","-4.3130520500088959E-13","1.2794922105726396E+0","-2.8926806727323504E-14","2.4233866942881801E+0","6.2391460724579373E+0","2.7655974605259505E+1","1.3828149461094501E+0","1.215058560962404E-2"
"1026","-1.6966276258248321E+0","-5.6758689999002920E-23","2.2695284195767690E-2","-5.3530496897135926E-13","1.2794686140963931E+0","-3.5054072598498443E-14","2.4233366598827102E+0","6.2391455806219032E+0","2.7655972425120634E+1","1.3828030760474801E+0","1.215058560962404E-2"
"1025","-1.6965922676960037E+0","-3.2998947906283453E-24","2.5834870469963848E-2","-3.9648383835796768E-13","1.2794415109443640E+0","-3.5035547940578713E-14","2.4232791907451001E+0","6.2391450156588100E+0","2.7655969920834824E+1","1.3827894423167499E+0","1.215058560962404E-2"
"1024","-1.6965523349747740E+0","8.2282108509668777E-23","2.8974385007608999E-2","-4.4535534654823344E-13","1.2794109012673194E+0","-4.2598487343861733E-14","2.4232142875595200E+0","6.2391443775571309E+0","2.7655967092350988E+1","1.3827740451252299E+0","1.215058560962404E-2"
"1023","-1.6965078278571717E+0","-1.3218925335842220E-23","3.2113819092691960E-2","-5.8494409298615916E-13","1.2793767852312024E+0","-4.5284764427229034E-14","2.4231419511033301E+0","6.2391436663038871E+0","2.7655963939611585E+1","1.3827568847202301E+0","1.215058560962404E-2"
"1022","-1.6964587465656005E+0","-8.3678653767181074E-23","3.5253164010059790E-2","-6.1714884364706811E-13","1.2793391630281792E+0","-5.2191549202266399E-14","2.4230621822350198E+0","6.2391428818845629E+0","2.7655960462552283E+1","1.3827379613717901E+0","1.215058560962404E-2"
"1021","-1.6964050913407822E+0","4.5623338412538864E-23","3.8392411045325398E-2","-4.6879262385458787E-13","1.2792980348618437E+0","-5.1264306965903925E-14","2.4229749819103201E+0","6.2391420242832076E+0","2.7655956661102369E+1","1.3827172753815800E+0","1.215058560962404E-2"
