"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1177","4.8784941344943100E-1","6.7212754533055685E-1","1.7393275630338904E-35","-2.4535031351852712E-1","1.3805858489246356E-1","-3.0357784458458681E-35","2.9979610288038199E+0","2.4071477560861904E+1","1.0670052670717605E+2","1.0000000775225699E+0","1.215058560962404E-2"
"1176","4.8784941344943100E-1","6.7216923728902811E-1","-7.2825089275806241E-36","-2.4526519697961138E-1","1.3806761685537203E-1","-2.0648201120666586E-35","2.9979610078108498E+0","2.4068108193305424E+1","1.0668559146724169E+2","1.0000000097302200E+0","1.215058560962404E-2"
"1175","4.8784941344943100E-1","6.7225250351835308E-1","3.6327183544224268E-35","-2.4509526852053465E-1","1.3808574702093177E-1","-8.0294529355816456E-36","2.9979608920360601E+0","2.4061367081246001E+1","1.0665571045119214E+2","1.0000000057806600E+0","1.215058560962404E-2"
"1174","4.8784941344943100E-1","6.7233561532084207E-1","2.5949037794401997E-36","-2.4492574251405616E-1","1.3810396270628361E-1","-5.3815784419575166E-35","2.9979606782880102E+0","2.4054622843454499E+1","1.0662581557985439E+2","1.0000000160384499E+0","1.215058560962404E-2"
"1173","4.8784941344943100E-1","6.7241857567449559E-1","3.2852713820893887E-35","-2.4475661452281836E-1","1.3812226057131133E-1","5.5489578172550714E-35","2.9979603670592900E+0","2.4047875532062960E+1","1.0659590708431172E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1172","4.8784941344943100E-1","6.7250138754494959E-1","4.5840296317423360E-35","-2.4458788012162963E-1","1.3814063729918719E-1","6.7822717964584302E-35","2.9979599588407302E+0","2.4041125199071516E+1","1.0656598519506271E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1171","4.8784941344943100E-1","6.7258405388648068E-1","6.4910155203933610E-35","-2.4441953489616769E-1","1.3815908959556714E-1","1.3350677089464130E-34","2.9979594541212502E+0","2.4034371896355985E+1","1.0653605014205492E+2","1.0000000002671900E+0","1.215058560962404E-2"
"1170","4.8784941344943100E-1","6.7266657764124527E-1","8.9776544334129049E-35","-2.4425157444421650E-1","1.3817761418895516E-1","1.4798224914104851E-34","2.9979588533879400E+0","2.4027615675655774E+1","1.0650610215463122E+2","1.0000000019503099E+0","1.215058560962404E-2"
"1169","4.8784941344943100E-1","6.7274896173959375E-1","-8.4139681579951548E-36","-2.4408399437515671E-1","1.3819620783060588E-1","-2.3649247381865502E-36","2.9979581571260101E+0","2.4020856588575164E+1","1.0647614146153555E+2","1.0000000011667101E+0","1.215058560962404E-2"
"1168","4.8784941344943100E-1","6.7283120909965788E-1","1.5448016150720334E-35","-2.4391679031072444E-1","1.3821486729460083E-1","8.3094409962681292E-35","2.9979573658188099E+0","2.4014094686575707E+1","1.0644616829087910E+2","1.0000000057976599E+0","1.215058560962404E-2"
"1167","4.8784941344943100E-1","6.7291332262792491E-1","2.4540648625323044E-35","-2.4374995788432260E-1","1.3823358937738295E-1","7.0734454205769571E-35","2.9979564799477498E+0","2.4007330020978436E+1","1.0641618287015027E+2","1.0000000021924300E+0","1.215058560962404E-2"
"1166","4.8784941344943100E-1","6.7299530521843409E-1","6.7007402429693656E-35","-2.4358349274205024E-1","1.3825237089837944E-1","1.6579245792394469E-35","2.9979554999923899E+0","2.4000562642952289E+1","1.0638618542616327E+2","1.0000000007838401E+0","1.215058560962404E-2"
"1165","4.8784941344943100E-1","6.7307715975325422E-1","-6.1177134120607425E-36","-2.4341739054230577E-1","1.3827120869946330E-1","-3.3997868019672978E-35","2.9979544264303399E+0","2.3993792603518184E+1","1.0635617618507615E+2","1.0000000015462500E+0","1.215058560962404E-2"
"1164","4.8784941344943100E-1","6.7315888910235666E-1","-3.4823239541392924E-35","-2.4325164695592086E-1","1.3829009964503541E-1","-2.3789617937742991E-35","2.9979532597373200E+0","2.3987019953541594E+1","1.0632615537235792E+2","1.0000000036025500E+0","1.215058560962404E-2"
"1163","4.8784941344943100E-1","6.7324049612368675E-1","-3.4627194433434466E-35","-2.4308625766624406E-1","1.3830904062184401E-1","-4.8751056806461951E-35","2.9979520003870599E+0","2.3980244743733468E+1","1.0629612321279268E+2","1.0000000000000000E+0","1.215058560962404E-2"
"1162","4.8784941344943100E-1","6.7089965235028037E-1","-1.3053042838190889E-34","-2.4786546846693094E-1","1.3780826788225226E-1","-1.9771227233655465E-34","2.9979506471768800E+0","2.4168814000001895E+1","1.0713198544491988E+2","1.3919892931674700E+0","1.215058560962404E-2"
"1161","4.8784941344943100E-1","6.7081350092759440E-1","1.0213686743302540E-34","-2.4804244829934605E-1","1.3779197892824685E-1","1.1269243936142491E-34","2.9979491269315099E+0","2.4175497923815488E+1","1.0716161296527372E+2","1.4204190416330600E+0","1.215058560962404E-2"
"1160","4.8784941344943100E-1","6.7072714271307576E-1","5.5750968899546872E-35","-2.4821990760151771E-1","1.3777583577148897E-1","8.2118565980506477E-35","2.9979475000693698E+0","2.4182177820450089E+1","1.0719122263453721E+2","1.4489839962851401E+0","1.215058560962404E-2"
"1159","4.8784941344943100E-1","6.7064057452822623E-1","2.8516896020223668E-35","-2.4839785098692305E-1","1.3775984216284307E-1","4.5219798308194873E-36","2.9979457660669602E+0","2.4188853636237951E+1","1.0722081421481991E+2","1.4776834255749900E+0","1.215058560962404E-2"
"1158","4.8784941344943100E-1","6.7055379318420183E-1","2.3640752598470888E-35","-2.4857628307703569E-1","1.3774400187573130E-1","9.2804360642458019E-37","2.9979439243991699E+0","2.4195525317470096E+1","1.0725038746804844E+2","1.5065165906251901E+0","1.215058560962404E-2"
