"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1075","1.2606723510367968E+0","2.2262407172398896E-21","-3.0239592174903346E-35","4.2619064144366704E-12","-8.0108099457406268E-1","-2.5675852907270897E-33","2.5888551896527701E+0","1.8528290764433272E+1","8.2129498637970116E+1","3.7361762054837402E+0","1.215058560962404E-2"
"1074","1.2609452613953540E+0","2.2262414842398529E-21","-7.9228319245422178E-34","4.4933292426592662E-12","-8.0151626780041618E-1","8.6757125463568765E-33","2.5884240398875198E+0","1.8528983236063070E+1","8.2132568124977823E+1","3.7255642076628699E+0","1.215058560962404E-2"
"1073","1.2611637286751225E+0","2.2262428768759919E-21","2.0284330517789393E-34","1.7231991514570981E-12","-8.0186489234067571E-1","-3.6820949946287169E-33","2.5880786701345100E+0","1.8529536709706232E+1","8.2135021482030552E+1","3.7170938729789502E+0","1.215058560962404E-2"
"1072","1.2613578254232605E+0","3.2506899436911955E-20","3.3361117423511931E-34","1.6682165986118265E-12","-8.0217476412795841E-1","-2.1630271549480912E-33","2.5877716553028001E+0","1.8530027804583970E+1","8.2137198335611131E+1","3.7095867779530298E+0","1.215058560962404E-2"
"1071","1.2615463458628313E+0","2.2262442347769734E-21","2.9877539914850082E-34","3.2328669853688023E-12","-8.0247585669481236E-1","-4.0453227490328038E-33","2.5874733060107298E+0","1.8530504217311044E+1","8.2139310108300620E+1","3.7023118552877201E+0","1.215058560962404E-2"
"1070","1.2617406371101854E+0","3.2506901300491747E-20","8.3364883865965808E-34","3.0832057432774092E-12","-8.0278629284631309E-1","-8.2166114726997239E-33","2.5871656642288499E+0","1.8530994623458483E+1","8.2141483908978202E+1","3.6948312147969800E+0","1.215058560962404E-2"
"1069","1.2619293472539370E+0","2.2262390099680903E-21","6.3432613906247690E-34","3.3252813413192093E-12","-8.0308793457231120E-1","-6.0765064575926673E-33","2.5868667043696298E+0","1.8531470370027254E+1","8.2143592728818561E+1","3.6875819194016599E+0","1.215058560962404E-2"
"1068","1.2621238348283046E+0","3.2506910330008168E-20","-7.1289030399968448E-34","3.3302504460683061E-12","-8.0339893773272797E-1","1.0677250287389002E-32","2.5865584316517900E+0","1.8531960092486347E+1","8.2145763498942387E+1","3.6801276212938001E+0","1.215058560962404E-2"
"1067","1.2623127364503053E+0","2.2262407598508007E-21","1.7263456972969967E-34","3.0581904458912996E-12","-8.0370113118880104E-1","-1.3225604490536639E-33","2.5862588573507699E+0","1.8532435177775916E+1","8.2147869387560974E+1","3.6729038457461698E+0","1.215058560962404E-2"
"1066","1.2625074221787949E+0","3.2506912799029292E-20","3.5496990658956027E-34","4.1900402030877742E-12","-8.0401270401001301E-1","-4.3115722194940519E-33","2.5859499497002498E+0","1.8532924221557249E+1","8.2150037149341244E+1","3.6654757805152598E+0","1.215058560962404E-2"
