"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1168","4.8784941344943100E-1","8.6598593557315040E-1","-3.6601759688992029E-24","-6.2382090257722046E-5","2.5012854971137490E-5","2.3881075664265832E-24","2.9879970501089099E+0","6.5826921582989781E+0","2.9178795471354906E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1167","4.8784941344943100E-1","8.6573585020219657E-1","9.9854275415274258E-25","-4.5768101074472535E-4","1.8348413922030687E-4","-2.2694787434255401E-25","2.9879969966420301E+0","6.5826921150534057E+0","2.9178795279662257E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1166","4.8784941344943100E-1","8.6748694459757147E-1","5.4088944975932988E-24","2.3092400217831349E-3","-9.2665770800902587E-4","-2.9402076776303409E-24","2.9879956640344698E+0","6.5826910014665314E+0","2.9178790343517154E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1165","4.8784941344943100E-1","8.6898878626037723E-1","-5.6499163216715813E-24","4.6805429077251687E-3","-1.8797582323656552E-3","3.0698758770502766E-24","2.9879913519224499E+0","6.5826873971713713E+0","2.9178774366924483E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1164","4.8784941344943100E-1","8.7049143414758767E-1","5.0489862333097871E-24","7.0514913864216967E-3","-2.8342679857374224E-3","-2.1207262450527972E-24","2.9879841138781802E+0","6.5826813474083696E+0","2.9178747550419470E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1163","4.8784941344943100E-1","8.7199486174372665E-1","1.9714236814434519E-24","9.4220502301610599E-3","-3.7901661753422414E-3","-1.5205373911783329E-24","2.9879739500788300E+0","6.5826728525484972E+0","2.9178709895646495E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1162","4.8784941344943100E-1","8.7349904243636556E-1","2.9030616531916640E-24","1.1792184171029323E-2","-4.7474319513289903E-3","-1.6220950445380831E-24","2.9879608607737298E+0","6.5826619131253983E+0","2.9178661404971024E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1161","4.8784941344943100E-1","8.7500394952069727E-1","1.1057157812419578E-24","1.4161857907347003E-2","-5.7060444100510508E-3","-6.3482609966374874E-25","2.9879448462847100E+0","6.5826485298250148E+0","2.9178602081433596E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1160","4.8784941344943100E-1","8.7650955620413096E-1","6.5638162735204478E-24","1.6531036110098769E-2","-6.6659825973198359E-3","-3.1703015082702799E-24","2.9879259070062800E+0","6.5826327034949390E+0","2.9178531928791298E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1159","4.8784941344943100E-1","8.7801583561100860E-1","6.9141091216672773E-24","1.8899683429457529E-2","-7.6272255119136621E-3","-3.9226051729440779E-24","2.9879040434059201E+0","6.5826144351312550E+0","2.9178450951459425E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1158","4.8784941344943100E-1","8.7952276078727953E-1","1.7272042561248418E-24","2.1267764501289203E-2","-8.5897521088477754E-3","-6.0805453887143593E-25","2.9878792560242702E+0","6.5825937258882519E+0","2.9178359154554535E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1157","4.8784941344943100E-1","8.8103030470527821E-1","-2.6248845320923943E-24","2.3635243953714975E-2","-9.5535413028659429E-3","1.2849298777155518E-24","2.9878515454753098E+0","6.5825705770758498E+0","2.9178256543883062E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1156","4.8784941344943100E-1","8.8253844026852479E-1","-4.6763949940743035E-24","2.6002086413712249E-2","-1.0518571971902585E-2","2.3367505602181117E-24","2.9878209124465198E+0","6.5825449901543918E+0","2.9178143125918190E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1155","4.8784941344943100E-1","8.8404714031652853E-1","1.2089122452970196E-24","2.8368256513685741E-2","-1.1484822960482803E-2","-8.9526158979317537E-25","2.9877873576990099E+0","6.5825169667445795E+0","2.9178018907843931E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1154","4.8784941344943100E-1","8.8555637762968931E-1","1.6660709613088419E-24","3.0733718898129269E-2","-1.2452273083317584E-2","-5.8928472935259016E-25","2.9877508820675902E+0","6.5824865086166664E+0","2.9177883897507211E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1153","4.8784941344943100E-1","8.8706612493417858E-1","-1.0459128524832539E-24","3.3098438230246753E-2","-1.3420901128785221E-2","2.6654916060414552E-25","2.9877114864608898E+0","6.5824536176965642E+0","2.9177738103444927E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1152","4.8784941344943100E-1","8.8857635490687426E-1","6.5016422261199500E-24","3.5462379198611754E-2","-1.4390685862490793E-2","-3.1084116094922891E-24","2.9876691718613602E+0","6.5824182960626949E+0","2.9177581534870008E+1","1.0000000000000000E+0","1.215058560962404E-2"
